COV,Intensity,SV,chainLength,unsaturationUnit,isomer,sphingoidBackbone,lipidSpecies
7.4,0,300,16,1,Glc,d18:1,16:1
7.6,0,300,16,1,Glc,d18:1,16:1
7.8,0,300,16,1,Glc,d18:1,16:1
8,0,300,16,1,Glc,d18:1,16:1
8.2,0,300,16,1,Glc,d18:1,16:1
8.4,0,300,16,1,Glc,d18:1,16:1
8.6,0,300,16,1,Glc,d18:1,16:1
8.8,0,300,16,1,Glc,d18:1,16:1
9,0,300,16,1,Glc,d18:1,16:1
9.2,0,300,16,1,Glc,d18:1,16:1
9.4,0,300,16,1,Glc,d18:1,16:1
9.6,0,300,16,1,Glc,d18:1,16:1
9.8,0,300,16,1,Glc,d18:1,16:1
10,0,300,16,1,Glc,d18:1,16:1
-10,0,400,16,1,Glc,d18:1,16:1
-9.8,0,400,16,1,Glc,d18:1,16:1
-9.6,0,400,16,1,Glc,d18:1,16:1
-9.4,0,400,16,1,Glc,d18:1,16:1
-9.2,0,400,16,1,Glc,d18:1,16:1
-9,0,400,16,1,Glc,d18:1,16:1
-8.8,0,400,16,1,Glc,d18:1,16:1
-8.6,0,400,16,1,Glc,d18:1,16:1
-8.4,0,400,16,1,Glc,d18:1,16:1
-8.2,0,400,16,1,Glc,d18:1,16:1
-8,0,400,16,1,Glc,d18:1,16:1
-7.8,0,400,16,1,Glc,d18:1,16:1
-7.6,0,400,16,1,Glc,d18:1,16:1
-7.4,0,400,16,1,Glc,d18:1,16:1
-7.2,0,400,16,1,Glc,d18:1,16:1
-7,0,400,16,1,Glc,d18:1,16:1
-6.8,0,400,16,1,Glc,d18:1,16:1
-6.6,0,400,16,1,Glc,d18:1,16:1
-6.4,0,400,16,1,Glc,d18:1,16:1
-6.2,0,400,16,1,Glc,d18:1,16:1
-6,0,400,16,1,Glc,d18:1,16:1
-5.8,0,400,16,1,Glc,d18:1,16:1
-5.6,0,400,16,1,Glc,d18:1,16:1
-5.4,0,400,16,1,Glc,d18:1,16:1
-5.2,0,400,16,1,Glc,d18:1,16:1
-5,0,400,16,1,Glc,d18:1,16:1
-4.8,0,400,16,1,Glc,d18:1,16:1
-4.6,0,400,16,1,Glc,d18:1,16:1
-4.4,0,400,16,1,Glc,d18:1,16:1
-4.2,0,400,16,1,Glc,d18:1,16:1
-4,0,400,16,1,Glc,d18:1,16:1
-3.8,0,400,16,1,Glc,d18:1,16:1
-3.6,0,400,16,1,Glc,d18:1,16:1
-3.4,0,400,16,1,Glc,d18:1,16:1
-3.2,0,400,16,1,Glc,d18:1,16:1
-3,0,400,16,1,Glc,d18:1,16:1
-2.8,0,400,16,1,Glc,d18:1,16:1
-2.6,0,400,16,1,Glc,d18:1,16:1
-2.4,0,400,16,1,Glc,d18:1,16:1
-2.2,0,400,16,1,Glc,d18:1,16:1
